cdr_id,datetime,type,origin,destination,duration_sec,cell_site,latitude,longitude
c7a0c697-7c22-42f6-a272-f6b8f33206d0,2023-10-05 02:44:09,VOICE,59171234567,+59175095372,520,CB2062,-17.395316,-66.113431
feb71344-2744-4231-8da6-42ef9c757821,2023-10-18 19:45:57,VOICE,59171234567,+59172425458,1722,CB2022,-17.381461,-66.098772
70a3fc60-acf1-4054-91ae-c7cdd0a6d49e,2023-10-22 07:34:18,VOICE,59171234567,+59175529456,247,CB2134,-17.406583,-66.075583
0196dc3c-9fc7-4024-b36f-cbce20c9e382,2023-10-24 08:30:14,VOICE,59171234567,+59176195873,344,CB2191,-17.378722,-66.073139
583c561c-cc70-4809-8eb6-902de7467ed1,2023-10-03 05:29:04,VOICE,59171234567,+59168579263,1795,CB2022,-17.381461,-66.098772
f63f14bd-e210-4b0e-8715-6488099db61e,2023-10-11 23:10:34,VOICE,59171234567,+59179526474,1396,CB2232,-17.394623,-66.073697
557227be-bdd5-44e5-a88d-6cc900cc4d22,2023-10-01 04:48:13,SMS,59171234567,+59164366705,0,CB2004,-17.373621,-66.122951
de3fecb1-c0ee-47ce-a1f1-8d54a885c29f,2023-10-02 02:27:01,DATA,59171234567,DATA_SERVICE,1245,CB2231,-17.385719,-66.066556
2e10d7d7-d655-427e-a7ed-b4225c9b0f2c,2023-10-11 10:01:16,VOICE,59171234567,+59165376526,1198,CB2134,-17.406583,-66.075583
763ad26f-12b5-4747-a951-0328dd910655,2023-10-21 07:32:01,VOICE,59171234567,+59168918347,968,CB2022,-17.381461,-66.098772
2260600b-eaca-40c6-808c-af6928815434,2023-10-18 08:06:31,DATA,59171234567,DATA_SERVICE,1834,CB2242,-17.381778,-66.110306
961e02c3-f3c3-4ff5-a80d-02f2a5809aba,2023-10-11 18:36:51,SMS,59171234567,+59178774120,0,CB2134,-17.406583,-66.075583
59c653dc-7fda-47ae-96e2-656251414af6,2023-10-01 23:47:28,DATA,59171234567,DATA_SERVICE,3249,CB2091,-17.403988,-66.027489
4349c8e4-563e-4059-b6f3-df5d87e51c5c,2023-10-06 23:58:13,SMS,59171234567,+59173455960,0,CS2259,-17.401944,-66.0375
28027f78-2598-41b8-925b-7c95c5758d01,2023-10-25 08:44:06,VOICE,59171234567,+59177462620,1055,CB2122,-17.381461,-66.098772
3d2e2153-68dc-4e95-a30c-22a4ec98ddef,2023-10-15 06:05:28,VOICE,59171234567,+59175095372,1467,CB2062,-17.395316,-66.113431
ca03b835-377c-4861-9751-00e17844e522,2023-10-28 18:30:23,DATA,59171234567,DATA_SERVICE,1573,CB2136-B1,-17.410306,-66.037306
1b77e872-7fed-430b-b7e1-d9ecc5a138f2,2023-10-04 23:24:57,VOICE,59171234567,+59174447992,1647,CB2022,-17.381461,-66.098772
5d225bac-278b-45dc-8f4f-c23c5e8882bd,2023-10-08 12:51:42,VOICE,59171234567,+59174700203,1464,CB2062,-17.395316,-66.113431
fd3df836-93c3-434d-a325-6c8df6732c39,2023-10-31 15:58:48,VOICE,59171234567,+59171728918,1243,CB2242,-17.381778,-66.110306
50056aeb-5034-410d-9d5c-3bb3bbf411d8,2023-10-06 04:31:01,VOICE,59171234567,+59168918347,448,CB2136-B1,-17.410306,-66.037306
3acd512e-ceb5-4ad7-a1b9-863ccf6f30ad,2023-10-22 20:15:23,SMS,59171234567,+59176195873,0,CB2005,-17.38391,-66.08344
